TIME,Vehicle speed (kph),Engine speed (RPM),Throttle position (%)
1694356245.61453,0,927.0,8.627450980392158
1694356246.364391,0,918.0,8.627450980392158
1694356247.084526,0,936.0,8.627450980392158
1694356247.805234,0,931.0,15.294117647058824
1694356248.524471,0,1476.0,17.647058823529413
1694356249.274784,0,1084.0,23.529411764705884
1694356249.994024,0,1583.0,25.490196078431374
1694356250.714383,3,2302.0,27.450980392156865
1694356251.433935,11,2987.0,8.627450980392158
1694356252.154537,17,3085.0,8.627450980392158
1694356252.904203,18,2159.0,16.47058823529412
1694356253.624277,17,1836.0,19.607843137254903
1694356254.344679,18,1969.0,20.784313725490197
1694356255.06426,20,2170.0,21.96078431372549
1694356255.783134,22,2379.0,23.137254901960787
1694356256.534301,25,2593.0,17.254901960784316
1694356257.254933,26,2681.0,8.627450980392158
1694356258.00436,27,2542.0,8.627450980392158
1694356258.724015,26,2449.0,13.725490196078432
1694356259.444623,24,2308.0,8.627450980392158
1694356260.194247,23,2226.0,8.627450980392158
1694356260.914708,22,1980.0,8.627450980392158
1694356261.664358,19,1486.0,8.627450980392158
1694356262.385441,18,1006.0,8.627450980392158
1694356263.104505,15,947.0,8.627450980392158
1694356263.824661,12,954.0,8.627450980392158
1694356264.514467,10,1014.0,8.627450980392158
1694356265.2664,8,957.0,8.627450980392158
1694356266.014883,8,985.0,13.725490196078432
1694356266.73455,8,1272.0,14.901960784313726
1694356267.454968,7,1515.0,15.294117647058824
1694356268.2343,8,1836.0,15.294117647058824
1694356268.954876,10,2097.0,15.294117647058824
1694356269.70445,12,2337.0,15.686274509803923
1694356270.424709,13,2548.0,16.07843137254902
1694356271.146283,15,2787.0,16.07843137254902
1694356271.894737,16,3038.0,14.50980392156863
1694356272.614565,17,3085.0,8.627450980392158
1694356273.365048,18,2204.0,8.627450980392158
1694356274.084578,16,1354.0,8.627450980392158
1694356274.804983,13,1162.0,8.627450980392158
1694356275.554631,7,957.0,8.627450980392158
1694356276.274866,7,1077.0,33.333333333333336
1694356276.964114,7,2707.0,8.627450980392158
1694356277.684625,0,2993.0,8.627450980392158
1694356278.404611,0,3322.0,13.333333333333334
1694356279.124513,0,3106.0,19.215686274509807
1694356279.87657,0,3155.0,8.627450980392158
1694356280.62469,3,2693.0,8.627450980392158
1694356281.344254,3,2879.0,25.88235294117647
1694356282.184627,0,3675.0,9.019607843137255
1694356282.903813,0,3445.0,12.549019607843139
1694356283.654151,0,4125.0,90.98039215686275
1694356284.374605,0,3200.0,90.98039215686275
1694356285.12498,3,3408.0,90.98039215686275
1694356285.874519,21,4596.0,90.98039215686275
1694356286.624896,30,5721.0,90.98039215686275
1694356287.464721,35,6240.0,8.627450980392158
1694356288.18406,39,4842.0,23.137254901960787
1694356288.9646,40,3979.0,90.98039215686275
1694356289.714174,43,4537.0,90.98039215686275
1694356290.434637,47,4970.0,90.98039215686275
1694356291.213986,53,5439.0,90.98039215686275
1694356291.965451,57,5832.0,90.98039215686275
1694356292.774791,60,6260.0,90.98039215686275
1694356293.494772,64,6522.0,8.627450980392158
1694356294.273991,67,5137.0,8.627450980392158
1694356295.054407,66,4254.0,90.98039215686275
1694356295.805388,68,4427.0,90.98039215686275
1694356296.55485,71,4610.0,90.98039215686275
1694356297.30432,74,4783.0,90.98039215686275
1694356298.024259,76,4941.0,90.98039215686275
1694356298.774826,79,5099.0,90.98039215686275
1694356299.495107,82,5248.0,90.98039215686275
1694356300.275165,84,5403.0,90.98039215686275
1694356300.995941,86,5539.0,90.98039215686275
1694356301.745128,89,5682.0,90.98039215686275
1694356302.49554,91,5818.0,90.98039215686275
1694356303.215423,92,5952.0,90.98039215686275
1694356303.96521,94,6068.0,90.98039215686275
1694356304.68595,96,6178.0,90.98039215686275
1694356305.405799,97,6276.0,90.98039215686275
1694356306.125203,101,6378.0,90.98039215686275
1694356306.90554,101,6471.0,90.98039215686275
1694356307.655959,103,6019.0,8.627450980392158
1694356308.375947,102,4529.0,90.98039215686275
1694356309.12525,101,4673.0,90.98039215686275
1694356309.845883,103,4732.0,90.98039215686275
1694356310.595911,103,4789.0,90.98039215686275
1694356311.345876,105,4848.0,90.98039215686275
1694356312.065029,107,4896.0,90.98039215686275
1694356312.786641,107,4947.0,40.392156862745104
1694356313.505702,107,4912.0,8.627450980392158
1694356314.255687,106,4829.0,8.627450980392158
1694356314.975198,105,4720.0,8.627450980392158
1694356315.725612,103,4655.0,8.627450980392158
1694356316.475947,101,3590.0,8.627450980392158
1694356317.196017,100,3702.0,8.627450980392158
1694356317.945351,97,3621.0,8.627450980392158
1694356318.665778,97,3556.0,8.627450980392158
1694356319.414465,94,3500.0,8.627450980392158
1694356320.136118,93,3444.0,8.627450980392158
1694356320.856011,92,3384.0,12.941176470588236
1694356321.604925,91,3344.0,12.15686274509804
1694356322.326188,89,3304.0,8.627450980392158
1694356323.075232,87,3259.0,8.627450980392158
1694356323.796818,87,3209.0,8.627450980392158
1694356324.515772,86,3159.0,8.627450980392158
1694356325.235659,83,3106.0,14.50980392156863
1694356325.985397,82,3073.0,14.901960784313726
1694356326.73604,83,3055.0,15.294117647058824
1694356327.455376,82,3036.0,15.294117647058824
1694356328.175767,80,3012.0,15.686274509803923
1694356328.925598,81,2998.0,15.686274509803923
1694356329.675663,80,2975.0,16.47058823529412
1694356330.425708,80,2957.0,17.647058823529413
1694356331.175606,79,2941.0,19.607843137254903
1694356331.896226,79,2941.0,22.35294117647059
1694356332.61573,79,2943.0,22.35294117647059
1694356333.36726,79,2952.0,22.745098039215687
1694356334.085711,78,2949.0,23.529411764705884
1694356334.836215,79,2960.0,24.31372549019608
1694356335.556413,79,2970.0,24.31372549019608
1694356336.275379,80,2971.0,24.31372549019608
1694356337.025918,79,2982.0,24.31372549019608
1694356337.745956,80,2988.0,24.31372549019608
1694356338.496011,80,2999.0,25.098039215686278
1694356339.214471,81,3013.0,25.098039215686278
1694356339.966626,81,3013.0,25.490196078431374
1694356340.685613,81,3029.0,25.490196078431374
1694356341.436271,81,3038.0,24.31372549019608
1694356342.185996,81,3044.0,23.92156862745098
1694356342.906083,81,3046.0,23.92156862745098
1694356343.625706,82,3041.0,23.92156862745098
1694356344.346099,81,3050.0,22.745098039215687
1694356345.094802,81,3046.0,21.176470588235297
1694356345.815231,82,3039.0,21.176470588235297
1694356346.564854,82,3039.0,21.176470588235297
1694356347.315416,81,3034.0,21.176470588235297
1694356348.035798,81,3033.0,21.176470588235297
1694356348.785519,81,3018.0,20.3921568627451
1694356349.506473,81,3018.0,9.019607843137255
1694356350.255667,80,2980.0,8.627450980392158
1694356351.007308,79,2930.0,8.627450980392158
1694356351.726318,78,2886.0,8.627450980392158
1694356352.476352,76,2839.0,8.627450980392158
